SWIMM_Trials.derivitive_graph_1()
Pathways per Point: 500
Timesteps per Pathway: 500
Best Policy: [-1590, 20, 0]

DATA
P1,P2,dP1/dObj,dP2/dObj,P1_STATUS,P2_STATUS
8,-1200,56033.9623473,2851925.78819,-1,1
8,-1100,57851.2815264,2915110.04629,-1,1
8,-1000,59668.5977428,2986074.51105,-1,1
8,-900,46038.7150096,2418194.41947,-1,1
8,-800,61485.9154405,3133963.69029,-1,1
8,-700,64211.8919871,3215130.96433,-1,1
8,-600,56942.6211961,2859934.18021,-1,1
8,-500,55125.3034986,2812631.37953,-1,1
9,-2500,57851.280045,2880251.96566,-1,1
9,-2400,66937.8685338,3361971.33172,-1,1
9,-2300,62394.5742894,3131589.11652,-1,1
9,-2200,47856.0327074,2536101.01483,-1,1
9,-2100,66937.8685338,3270244.62939,-1,1
9,-2000,74207.1393248,3503728.35534,-1,1
9,-1900,39946.1004736,738141.055981,-1,1
9,-1800,63303.2331383,3145922.2458,-1,1
9,-1700,61485.9154405,2916541.53736,-1,1
9,-1600,58759.9388939,2920828.69957,-1,1
9,-1500,51490.6681029,2580955.82663,-1,1
9,-1400,58759.9388939,2917395.97989,-1,1
9,-1300,54216.6446495,2753966.66893,-1,1
9,-1200,65120.550836,3271442.30453,-1,1
9,-1100,67846.5273826,3362396.9505,-1,1
9,-1000,57055.2494027,2890974.58103,-1,1
9,-900,76024.4570225,3579652.86922,-1,1
9,-800,62394.5742894,3041733.74646,-1,1
9,-700,66029.2096849,3344096.26522,-1,1
9,-600,65120.5534892,3246320.77686,-1,1
9,-500,43790.6690062,2365801.69237,-1,1
10,-2500,54216.6446495,2755796.42021,-1,1
10,-2400,58759.9388939,2902915.92022,-1,1
10,-2300,69663.8450804,3438095.39039,-1,1
10,-2200,58759.9388939,2922255.13875,-1,1
10,-2100,49323.8148743,2486302.37012,-1,1
10,-2000,60577.2565916,3063595.39172,-1,1
10,-1900,52399.3269518,2749599.70583,-1,1
10,-1800,57851.280045,2815729.88238,-1,1
10,-1700,69663.8450804,3466966.3601,-1,1
10,-1600,52399.3269518,2682878.72346,-1,1
10,-1500,66029.2096849,3165723.41754,-1,1
10,-1400,55125.3034984,2816838.68261,-1,1
10,-1300,58759.9388939,2954497.52888,-1,1
10,-1200,57851.280045,2930884.6319,-1,1
10,-1100,60577.2565916,3104958.2881,-1,1
10,-1000,61485.9154405,3073654.53952,-1,1
10,-900,58759.9388939,2861380.42795,-1,1
10,-800,45130.0561608,2374869.8251,-1,1
10,-700,61496.9820652,3036933.10823,-1,1
10,-600,50582.009254,2604645.16937,-1,1
10,-500,67018.745216,3383667.00694,-1,1
11,-2500,53307.9858006,2698713.20452,-1,1
